samplename,kingdom,phylum,class,order,family,genus,species
M00598:87:000000000-J7KGW:1:2101:8880:19616__kiwi2020__AG0529-0922__515f,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermacetogenium,
M00598:87:000000000-J7KGW:1:2101:8943:10014__kiwi2020__AG0529-0226__515f,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Hydrobacter,
M00598:87:000000000-J7KGW:1:2101:9078:19320__kiwi2020__AG0529-0387__515f,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Defluviitoga,
M00598:87:000000000-J7KGW:1:2101:9150:18842__kiwi2020__AG0529-0995__515f,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,Chloroplast,Streptophyta,,
M00598:87:000000000-J7KGW:1:2101:9356:11696__kiwi2020__AG0529-0864__515f,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiales_incertae_sedis,Bounagaea,
M00598:87:000000000-J7KGW:1:2101:9374:24778__kiwi2020__AG0529-0566__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Lawsonibacter,
M00598:87:000000000-J7KGW:1:2101:9411:15804__kiwi2020__AG0529-0369__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter,
M00598:87:000000000-J7KGW:1:2101:9587:9657__kiwi2020__AG0529-1009__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium XlVb,
M00598:87:000000000-J7KGW:1:2101:9654:24821__kiwi2020__AG0529-0896__515f,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Parasediminibacterium,
M00598:87:000000000-J7KGW:1:2101:9657:21776__kiwi2020__AG0529-0556__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillales_incertae_sedis,Alkalimarinus,
M00598:87:000000000-J7KGW:1:2101:9662:5011__kiwi2020__AG0529-0515__515f,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,
M00598:87:000000000-J7KGW:1:2101:9845:5467__kiwi2020__AG0529-1120__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Criibacterium,
M00598:87:000000000-J7KGW:1:2101:9927:12707__kiwi2020__AG0529-0912__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_incertae_sedis,Acidibacter,,
M00598:87:000000000-J7KGW:1:2102:10043:13765__kiwi2020__AG0529-0414__515f,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,
M00598:87:000000000-J7KGW:1:2102:10164:22167__kiwi2020__AG0529-0661__515f,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae 1,Paenibacillus,
M00598:87:000000000-J7KGW:1:2102:10200:5034__kiwi2020__AG0529-1157__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,
M00598:87:000000000-J7KGW:1:2102:10280:21399__kiwi2020__AG0529-0934__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Vampirovibrio,
M00598:87:000000000-J7KGW:1:2102:10428:7112__kiwi2020__AG0529-0662__515f,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,
M00598:87:000000000-J7KGW:1:2102:10485:12823__kiwi2020__AG0529-0862__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Anaerobacter,
M00598:87:000000000-J7KGW:1:2102:10511:22946__kiwi2020__AG0529-0501__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,
M00598:87:000000000-J7KGW:1:2102:10555:14657__kiwi2020__AG0529-0396__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Dongia,
M00598:87:000000000-J7KGW:1:2102:10736:13213__kiwi2020__AG0529-0420__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pseudescherichia,
M00598:87:000000000-J7KGW:1:2102:10772:4028__kiwi2020__AG0529-0894__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,
M00598:87:000000000-J7KGW:1:2102:10781:7618__kiwi2020__AG0529-0833__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Colidextribacter,
M00598:87:000000000-J7KGW:1:2102:10845:22489__kiwi2020__AG0529-0136__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
M00598:87:000000000-J7KGW:1:2102:11062:18568__kiwi2020__AG0529-0911__515f,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Iamia,
M00598:87:000000000-J7KGW:1:2102:11219:4808__kiwi2020__AG0529-0719__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,
M00598:87:000000000-J7KGW:1:2102:11251:4461__kiwi2020__AG0529-1105__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Papillibacter,
M00598:87:000000000-J7KGW:1:2102:11273:9038__kiwi2020__AG0529-0822__515f,Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Saprospiraceae,Phaeodactylibacter,
M00598:87:000000000-J7KGW:1:2102:11361:18580__kiwi2020__AG0529-1034__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_incertae_sedis,Dissulfurirhabdus,,
M00598:87:000000000-J7KGW:1:2102:11424:9789__kiwi2020__AG0529-0892__515f,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Brevifollis,
M00598:87:000000000-J7KGW:1:2102:11430:19393__kiwi2020__AG0529-0911__515f,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,Chloroplast,Euglenida,,
M00598:87:000000000-J7KGW:1:2102:11449:9377__kiwi2020__AG0529-0849__515f,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Geothrix,
M00598:87:000000000-J7KGW:1:2102:11607:27899__kiwi2020__AG0529-0325__515f,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,
M00598:87:000000000-J7KGW:1:2102:11676:8502__kiwi2020__AG0529-0556__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
M00598:87:000000000-J7KGW:1:2102:11684:21034__kiwi2020__AG0529-0911__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Mizugakiibacter,
M00598:87:000000000-J7KGW:1:2102:11784:17653__kiwi2020__AG0529-0922__515f,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,
M00598:87:000000000-J7KGW:1:2102:11945:17532__kiwi2020__AG0529-0922__515f,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Rurimicrobium,
M00598:87:000000000-J7KGW:1:2102:12178:7625__kiwi2020__AG0529-0623__515f,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Basilea,
M00598:87:000000000-J7KGW:1:2102:12304:9454__kiwi2020__AG0529-0846__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,
M00598:87:000000000-J7KGW:1:2102:12333:12316__kiwi2020__AG0529-0325__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,
M00598:87:000000000-J7KGW:1:2102:12379:23053__kiwi2020__AG0529-0646__515f,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,
M00598:87:000000000-J7KGW:1:2102:12388:17009__kiwi2020__AG0529-0817__515f,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,Chloroplast,Bacillariophyta,,
M00598:87:000000000-J7KGW:1:2102:12431:4072__kiwi2020__AG0529-0928__515f,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Mariniblastus,
M00598:87:000000000-J7KGW:1:2102:12489:24161__kiwi2020__AG0529-0377__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Craurococcus,
M00598:87:000000000-J7KGW:1:2102:12563:10625__kiwi2020__AG0529-0922__515f,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,
M00598:87:000000000-J7KGW:1:2102:12592:5743__kiwi2020__AG0529-0780__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XIII,Anaerovorax,
M00598:87:000000000-J7KGW:1:2102:12621:14662__kiwi2020__AG0529-0930__515f,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidiferrimicrobium,
M00598:87:000000000-J7KGW:1:2102:12761:4630__kiwi2020__AG0529-1000__515f,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Actinomarinicola,
M00598:87:000000000-J7KGW:1:2102:12778:21830__kiwi2020__AG0529-1057__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,
M00598:87:000000000-J7KGW:1:2102:12850:8686__kiwi2020__AG0529-1016__515f,Bacteria,Parcubacteria,Parcubacteria_genera_incertae_sedis,,,,
M00598:87:000000000-J7KGW:1:2102:12868:15203__kiwi2020__AG0529-1157__515f,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,Chloroplast,Euglenida,,
M00598:87:000000000-J7KGW:1:2102:12888:6915__kiwi2020__AG0529-0634__515f,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Schwartzia,
M00598:87:000000000-J7KGW:1:2102:12919:25297__kiwi2020__AG0529-0489__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Micropepsis,
M00598:87:000000000-J7KGW:1:2102:13030:9018__kiwi2020__AG0529-0911__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Salinispirillum,
M00598:87:000000000-J7KGW:1:2102:13075:3743__kiwi2020__AG0529-0349__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum,
M00598:87:000000000-J7KGW:1:2102:13115:22808__kiwi2020__AG0529-0840__515f,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,Chloroplast,Bacillariophyta,,
M00598:87:000000000-J7KGW:1:2102:13192:20792__kiwi2020__AG0529-0894__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium IV,
M00598:87:000000000-J7KGW:1:2102:13202:20171__kiwi2020__AG0529-0881__515f,Bacteria,Acidobacteria,Acidobacteria_Gp1,Edaphobacter,,,
M00598:87:000000000-J7KGW:1:2102:13233:7222__kiwi2020__AG0529-0531__515f,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Thermanaerothrix,
M00598:87:000000000-J7KGW:1:2102:13265:17268__kiwi2020__AG0529-0835__515f,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sebaldella,
M00598:87:000000000-J7KGW:1:2102:13298:23983__kiwi2020__AG0529-0401__515f,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,
M00598:87:000000000-J7KGW:1:2102:13316:10395__kiwi2020__AG0529-0935__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,
M00598:87:000000000-J7KGW:1:2102:13344:18102__kiwi2020__AG0529-0911__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Alsobacteraceae,Alsobacter,
M00598:87:000000000-J7KGW:1:2102:13433:15876__kiwi2020__AG0529-1067__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas,
M00598:87:000000000-J7KGW:1:2102:13434:9119__kiwi2020__AG0529-0867__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,
M00598:87:000000000-J7KGW:1:2102:13447:23073__kiwi2020__AG0529-0051__515f,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,
M00598:87:000000000-J7KGW:1:2102:13453:10896__kiwi2020__AG0529-0321__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Butyricicoccus,
M00598:87:000000000-J7KGW:1:2102:13518:8761__kiwi2020__AG0529-1151__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus,
M00598:87:000000000-J7KGW:1:2102:13545:3119__kiwi2020__AG0529-0946__515f,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,
M00598:87:000000000-J7KGW:1:2102:13558:3318__kiwi2020__AG0529-0951__515f,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,
M00598:87:000000000-J7KGW:1:2102:13563:7254__kiwi2020__AG0529-0911__515f,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Isosphaeraceae,Singulisphaera,
M00598:87:000000000-J7KGW:1:2102:13614:26080__kiwi2020__AG0529-0507__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Monoglobus,
M00598:87:000000000-J7KGW:1:2102:13682:23311__kiwi2020__AG0529-0012__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geothermobacter,
M00598:87:000000000-J7KGW:1:2102:13689:5880__kiwi2020__AG0529-0156__515f,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter,
M00598:87:000000000-J7KGW:1:2102:13932:11434__kiwi2020__AG0529-0536__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,
M00598:87:000000000-J7KGW:1:2102:13965:11400__kiwi2020__AG0529-1128__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Tepidibaculum,
M00598:87:000000000-J7KGW:1:2102:14028:8009__kiwi2020__AG0529-1069__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pseudoclostridium,
M00598:87:000000000-J7KGW:1:2102:14065:20550__kiwi2020__AG0529-0879__515f,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Taibaiella,
M00598:87:000000000-J7KGW:1:2102:14095:5776__kiwi2020__AG0529-0286__515f,Bacteria,Parcubacteria,Parcubacteria_genera_incertae_sedis,,,,
M00598:87:000000000-J7KGW:1:2102:14172:9945__kiwi2020__AG0529-1120__515f,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,
M00598:87:000000000-J7KGW:1:2102:14355:12601__kiwi2020__AG0529-0058__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Hungatella,
M00598:87:000000000-J7KGW:1:2102:14395:16594__kiwi2020__AG0529-0321__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Butyricicoccus,
M00598:87:000000000-J7KGW:1:2102:14456:6673__kiwi2020__AG0529-1120__515f,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,
M00598:87:000000000-J7KGW:1:2102:14531:20147__kiwi2020__AG0529-0390__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Vulcaniibacterium,
M00598:87:000000000-J7KGW:1:2102:14600:26727__kiwi2020__AG0529-0668__515f,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,
M00598:87:000000000-J7KGW:1:2102:14607:12060__kiwi2020__AG0529-0933__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,
M00598:87:000000000-J7KGW:1:2102:14881:10726__kiwi2020__AG0529-0143__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,
M00598:87:000000000-J7KGW:1:2102:14899:2544__kiwi2020__AG0529-1059__515f,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,Chloroplast,Streptophyta,,
M00598:87:000000000-J7KGW:1:2102:14966:26318__kiwi2020__AG0529-0246__515f,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,
M00598:87:000000000-J7KGW:1:2102:15022:20576__kiwi2020__AG0529-0091__515f,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Baekduiaceae,Baekduia,
M00598:87:000000000-J7KGW:1:2102:15047:14034__kiwi2020__AG0529-1169__515f,Bacteria,Cyanobacteria/Chloroplast,Cyanobacteria,Family I,Dulcicalothrix,,
M00598:87:000000000-J7KGW:1:2102:15128:19210__kiwi2020__AG0529-0374__515f,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,
M00598:87:000000000-J7KGW:1:2102:15144:7822__kiwi2020__AG0529-0743__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Lacibacterium,
M00598:87:000000000-J7KGW:1:2102:15168:11278__kiwi2020__AG0529-0513__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidisoma,
M00598:87:000000000-J7KGW:1:2102:15268:5381__kiwi2020__AG0529-0895__515f,Bacteria,Armatimonadetes,Armatimonadetes_gp5,,,,
M00598:87:000000000-J7KGW:1:2102:15343:14961__kiwi2020__AG0529-0376__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystineae,Haliangiaceae,Haliangium
M00598:87:000000000-J7KGW:1:2102:15360:28122__kiwi2020__AG0529-0321__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fournierella,
M00598:87:000000000-J7KGW:1:2102:15363:12904__kiwi2020__AG0529-1028__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
M00598:87:000000000-J7KGW:1:2102:15396:13448__kiwi2020__AG0529-0911__515f,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niastella,
M00598:87:000000000-J7KGW:1:2102:15406:13987__kiwi2020__AG0529-0204__515f,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Rhodonellum,
M00598:87:000000000-J7KGW:1:2102:15626:18674__kiwi2020__AG0529-1002__515f,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Thermoguttaceae,Thermogutta,
M00598:87:000000000-J7KGW:1:2102:15679:21832__kiwi2020__AG0529-0728__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,
M00598:87:000000000-J7KGW:1:2102:15718:14571__kiwi2020__AG0529-1012__515f,Bacteria,Chloroflexi,Anaerolineae,Aggregatilineales_incertae_sedis,Flexilinea,,
M00598:87:000000000-J7KGW:1:2102:15768:11762__kiwi2020__AG0529-0479__515f,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Lacipirellulaceae,Lacipirellula,
M00598:87:000000000-J7KGW:1:2102:15769:9099__kiwi2020__AG0529-0997__515f,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Paraeggerthella,
M00598:87:000000000-J7KGW:1:2102:15863:11541__kiwi2020__AG0529-1093__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus2,
M00598:87:000000000-J7KGW:1:2102:16002:25324__kiwi2020__AG0529-0337__515f,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,
M00598:87:000000000-J7KGW:1:2102:16069:17109__kiwi2020__AG0529-0392__515f,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,
M00598:87:000000000-J7KGW:1:2102:16154:24914__kiwi2020__AG0529-0396__515f,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae 1,Gorillibacterium,
M00598:87:000000000-J7KGW:1:2102:16160:15506__kiwi2020__AG0529-0905__515f,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Albidiferax,
M00598:87:000000000-J7KGW:1:2102:16169:7949__kiwi2020__AG0529-0275__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Teredinibacter,
M00598:87:000000000-J7KGW:1:2102:16190:24622__kiwi2020__AG0529-0028__515f,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,Kineosporia,
M00598:87:000000000-J7KGW:1:2102:16213:23515__kiwi2020__AG0529-0121__515f,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,
M00598:87:000000000-J7KGW:1:2102:16274:15021__kiwi2020__AG0529-0203__515f,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexineae,Oscillochloridaceae,Oscillochloris
M00598:87:000000000-J7KGW:1:2102:16389:21596__kiwi2020__AG0529-1022__515f,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,
M00598:87:000000000-J7KGW:1:2102:16457:8050__kiwi2020__AG0529-0987__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,
M00598:87:000000000-J7KGW:1:2102:16468:16798__kiwi2020__AG0529-1016__515f,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Georgfuchsia,
M00598:87:000000000-J7KGW:1:2102:16474:13925__kiwi2020__AG0529-1123__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Criibacterium,
M00598:87:000000000-J7KGW:1:2102:16551:27263__kiwi2020__AG0529-0829__515f,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,
M00598:87:000000000-J7KGW:1:2102:16585:12028__kiwi2020__AG0529-0961__515f,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Terrimonas,
M00598:87:000000000-J7KGW:1:2102:16648:22927__kiwi2020__AG0529-0003__515f,Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Ruficoccus,
M00598:87:000000000-J7KGW:1:2102:16694:22051__kiwi2020__AG0529-1021__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,
M00598:87:000000000-J7KGW:1:2102:16695:21302__kiwi2020__AG0529-0485__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,
M00598:87:000000000-J7KGW:1:2102:16847:12139__kiwi2020__AG0529-0728__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium XlVa,
M00598:87:000000000-J7KGW:1:2102:16986:15991__kiwi2020__AG0529-0321__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Millionella,
M00598:87:000000000-J7KGW:1:2102:16998:5517__kiwi2020__AG0529-0556__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Tissierellaceae,Tissierella,
M00598:87:000000000-J7KGW:1:2102:17098:19470__kiwi2020__AG0529-0139__515f,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,
M00598:87:000000000-J7KGW:1:2102:17175:13831__kiwi2020__AG0529-0996__515f,Archaea,Pacearchaeota,Pacearchaeota Incertae Sedis AR13,,,,
M00598:87:000000000-J7KGW:1:2102:17180:23227__kiwi2020__AG0529-0301__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Murimonas,
M00598:87:000000000-J7KGW:1:2102:17187:20358__kiwi2020__AG0529-0920__515f,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptacidiphilus,
M00598:87:000000000-J7KGW:1:2102:17242:9251__kiwi2020__AG0529-0528__515f,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,Chloroplast,Euglenida,,
M00598:87:000000000-J7KGW:1:2102:17355:20552__kiwi2020__AG0529-1057__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,
M00598:87:000000000-J7KGW:1:2102:17377:6933__kiwi2020__AG0529-0203__515f,Bacteria,candidate division WPS-1,WPS-1_genera_incertae_sedis,,,,
M00598:87:000000000-J7KGW:1:2102:17378:7487__kiwi2020__AG0529-0818__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium XlVb,
M00598:87:000000000-J7KGW:1:2102:17467:12764__kiwi2020__AG0529-0507__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,
M00598:87:000000000-J7KGW:1:2102:17554:13536__kiwi2020__AG0529-0321__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Monoglobus,
M00598:87:000000000-J7KGW:1:2102:17582:19341__kiwi2020__AG0529-0151__515f,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Laribacter,
M00598:87:000000000-J7KGW:1:2102:17641:16334__kiwi2020__AG0529-0921__515f,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystineae,Kofleriaceae,Kofleria
M00598:87:000000000-J7KGW:1:2102:17746:12967__kiwi2020__AG0529-0321__515f,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
M00598:87:000000000-J7KGW:1:2102:17794:17371__kiwi2020__AG0529-0719__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mordavella,
M00598:87:000000000-J7KGW:1:2102:17839:5415__kiwi2020__AG0529-0531__515f,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,
M00598:87:000000000-J7KGW:1:2102:17918:11533__kiwi2020__AG0529-0404__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,
M00598:87:000000000-J7KGW:1:2102:18035:13652__kiwi2020__AG0529-0470__515f,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae 1,Paenibacillus,
M00598:87:000000000-J7KGW:1:2102:18079:15369__kiwi2020__AG0529-0985__515f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Papillibacter,
M00598:87:000000000-J7KGW:1:2102:18138:20777__kiwi2020__AG0529-0397__515f,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Phaseolibacter,
M00598:87:000000000-J7KGW:1:2102:18495:17224__kiwi2020__AG0529-0240__515f,Bacteria,Proteobacteria,Oligoflexia,Bacteriovoracales,Halobacteriovoraceae,Halobacteriovorax,
M00598:87:000000000-J7KGW:1:2102:18649:10119__kiwi2020__AG0529-0401__515f,Bacteria,Verrucomicrobia,Spartobacteria,Spartobacteria_genera_incertae_sedis,,,
